"Rank","Player","REC","TGT","ReYDS","Y/R","LG","20+","ReTD","ATT","RuYDS","RuTD","FL","G","FPTS","FPTS/G","ROST"
"141","KJ Hamler (DEN)","7","14","165","23.6","55","10","0","2","23","0","0","7","25.8","3.7","0.4%"
"142","N'Keal Harry (FA)","7","9","116","16.6","49","3","1","0","0","0","0","6","24.6","4.1","0.1%"
"143","DeSean Jackson (FA)","9","17","153","17.0","62","5","0","0","0","0","0","7","24.3","3.5","0.6%"
"144","Breshad Perriman (FA)","9","19","110","12.2","28","2","1","2","-7","0","1","8","23.3","2.9","0.0%"
"145","Tom Kennedy (DET)","8","15","141","17.6","44","4","0","0","0","0","0","7","22.1","3.2","0.1%"
"146","David Sills V (NYG)","11","17","106","9.6","24","1","0","0","0","0","0","7","21.6","3.1","0.0%"
"147","Jeff Smith (NYG)","8","11","134","16.8","50","5","0","0","0","0","0","7","21.4","3.1","0.0%"
"148","Kenny Golladay (FA)","6","17","81","13.5","25","1","1","0","0","0","0","6","20.1","3.4","2.2%"
"149","Samori Toure (GB)","5","10","82","16.4","37","4","1","0","0","0","0","4","19.2","4.8","0.4%"
"150","T.Y. Hilton (FA)","7","10","121","17.3","52","5","0","0","0","0","0","3","19.1","6.4","1.6%"
"151","Marcus Johnson (FA)","9","22","99","11.0","18","0","0","0","0","0","0","8","18.9","2.4","0.0%"
"152","Michael Bandy (FA)","10","21","89","8.9","25","2","0","0","0","0","0","8","18.9","2.4","0.0%"
"153","Anthony Schwartz (CLE)","4","10","51","12.8","19","0","0","4","57","1","1","7","18.8","2.7","0.1%"
"154","Cam Sims (LV)","8","18","89","11.1","21","1","0","0","0","0","0","13","16.9","1.3","0.1%"
"155","Dax Milne (WAS)","6","7","37","6.2","12","0","1","0","0","0","0","15","15.7","1.0","0.1%"
"156","Jameson Williams (DET)","1","9","41","41.0","41","3","1","1","40","0","0","6","15.1","2.5","73.4%"
